"Palma de Mallorca, Aeropuerto"
"Month","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"January","9.5","15.2","3.8","37","79","5.7","0.1","0.8","6.3","5.1","3.5","163",
"February","9.8","15.4","4.0","32","77","5.1","0.1","0.8","5.5","3.8","2.9","166",
"March","11.3","17.5","5.2","26","75","4.5","0.0","0.8","6.9","2.1","3.9","202",
"April","13.6","19.8","7.4","34","71","4.8","0.0","1.3","3.5","0.1","3.8","234",
"May","17.5","23.7","11.3","32","67","3.8","0.0","1.2","2.2","0.0","5.4","283",
"June","21.7","28.1","15.4","12","63","1.8","0.0","0.8","0.6","0.0","9.1","316",
"July","24.8","31.2","18.3","5","62","0.5","0.0","0.7","0.4","0.0","16.1","342",
"August","25.1","31.3","18.9","17","65","1.7","0.0","1.8","0.5","0.0","12.4","315",
"September","22.2","27.9","16.5","50","71","4.3","0.0","3.9","1.3","0.0","5.0","222",
"October","18.5","23.9","13.1","62","77","6.1","0.0","2.9","3.1","0.0","2.6","203",
"November","13.7","19.0","8.3","55","79","6.1","0.0","2.1","3.2","0.3","2.3","162",
"December","10.8","16.1","5.4","48","79","6.4","0.0","1.6","5.5","2.5","3.1","152",
"Year","16.5","22.4","10.6","411","72","50.9","0.3","18.6","39.1","15.0","70.6","2756",
